Frequency_1,Frequency_2,Frequency_3,Frequency_4,Frequency_5,Frequency_6,Frequency_7,Frequency_8,Frequency_9,Frequency_10,Mean Frequency,Max Amplitude Frequency,Spectral Std Dev,Spectral Energy,Spectral Skewness,mean,absolute_mean,absolute_max,std,variance,peak_to_peak,peak,skewness,kurtosis,rms,crest_factor,impulse_factor,margin,power,shape_factor,clearance_factor,BPFO_data,BPFI_data,Hz,rpm,fault_type
30.0,60.0,158.0,90.0,188.0,128.0,9.0,98.0,218.0,39.0,4347.727647463256,2704.0,2717.915384994062,1880944165.2497594,6.009339054057107,0.001992660657311986,0.9952113673112039,44.871549791570004,2.3959624825197343,5.740636217642129,82.31418724529001,37.44263745372,0.07372652930976302,55.01316928098435,2.395916512730883,15.627688717351264,45.08745706231329,37.44064479306269,5.740415935976515,2.4074448819892513,7.816776744407949,11076.226414379937,4839.384846288152,25600,1800,1
30.0,60.0,158.0,188.0,90.0,89.0,128.0,59.0,218.0,69.0,4259.705930760258,2861.0,2744.823648322371,5359587594.414496,13.259823680909461,0.008431013015378326,1.6894057307572956,51.22196212239,4.044415087663708,16.357293401321844,102.43781603055001,51.22196212239,-0.32680166277554196,27.699747900985127,4.044344879157638,12.665082640790661,30.319514838764736,51.21353110937463,16.356725501568608,2.3939452823714014,3.13155356904888,17551.60341241678,13692.73391818841,25600,1800,1
30.0,60.0,21.0,9.0,90.0,68.0,38.0,158.0,98.0,188.0,4348.770484251433,2672.0,2785.8122653547803,1509785193.8858478,6.260710936215028,0.0006376436308496288,0.9200342734644069,36.93918984991001,2.1464867247755595,4.607405259637708,69.14816885581001,32.2089790059,-0.06144880531674926,49.99229910927944,2.146444893871857,15.005733013625122,40.1497975839691,32.208341362269145,4.6072256824285684,2.3330053627126057,8.017664511376521,9006.999788684541,4311.463712947143,25600,1800,1
30.0,60.0,21.0,9.0,68.0,98.0,128.0,158.0,90.0,51.0,4271.739554915764,2702.0,2695.373762312249,1868171837.8678944,8.402425608655902,-0.00048231401121646083,1.013206247851015,36.846693540180006,2.387813301551135,5.701652363064532,71.17574242856,34.32904888838,-0.1721398588488403,46.43519101141679,2.3877667110074863,14.377053139289021,36.36642945928424,34.329531202391216,5.701429866195508,2.3566442825159037,6.462711004944333,8511.768622926795,4840.572901005326,25600,1800,1
30.0,60.0,9.0,39.0,21.0,90.0,158.0,128.0,188.0,69.0,4143.688404335204,2860.0,2694.6675026841926,3249067925.36293,7.304760177078444,-0.00437744417572679,1.325172709648907,51.21585390816001,3.1489845833038643,9.91610390588541,92.05547924177,40.83962533361,-0.8336686521783823,41.53384603161648,3.148926119324277,12.969381873708015,38.648436943535614,40.844002777785725,9.915735704962652,2.3762382792795043,5.165108816134276,11486.8437816489,9581.988669798053,25600,1800,1
30.0,60.0,158.0,188.0,90.0,89.0,128.0,59.0,39.0,218.0,4225.55958340339,2861.0,2812.2447894753964,5053464966.089034,12.470588070893038,-0.0017825703974768785,1.7114927375558469,51.21585390816001,3.927231358325686,15.423146141816613,96.88658427349,45.67073036533,-0.6871485807099891,24.588142895096517,3.927155055404974,11.629469608660607,29.924669140752815,45.672512935727475,15.422546829192843,2.2945788604474453,3.3208428202801863,18904.50566738926,17539.949728454325,25600,1800,1
30.0,60.0,158.0,188.0,128.0,89.0,90.0,59.0,218.0,119.0,4261.269281555231,2859.0,2683.8320628224988,5741258569.892563,9.17381151934217,0.0031665460418559255,1.7389302245527603,51.22196212239,4.185962935302107,17.522285695723028,102.43781603055001,51.22196212239,-0.3838948154807576,30.043240156112503,4.185882371939515,12.236837438567695,29.456019223292245,51.21879557634815,17.52161123171398,2.407159478187857,2.923359127480163,15918.68787163173,13721.132387549786,25600,1800,1
30.0,60.0,158.0,188.0,128.0,90.0,218.0,98.0,39.0,89.0,4463.657982651922,2830.0,2740.6309975222543,3673073956.7836857,7.790056112012409,0.004286773922502052,1.3218656281085799,51.22196212239,3.3481594530152026,11.21017172281506,102.43781603055001,51.22196212239,-0.15085402172971155,43.74705347324774,3.348096800393727,15.29882950706994,38.74974962143623,51.2176753484675,11.20975218480671,2.5328571446285535,4.569410748599276,8144.6163461600745,6025.72532646037,25600,1800,1
30.0,60.0,98.0,158.0,128.0,90.0,188.0,9.0,21.0,68.0,4276.371069805289,2704.0,2671.1662610645194,2220867127.4036846,5.7777201978724415,0.0016984130609918224,1.0211744616994345,51.21585390816001,2.603471647325579,6.778064618428163,97.01334005869,45.79748615053,-0.09608096515301916,61.9740290812403,2.603421349790119,17.59126933265031,50.15387265259923,45.795787737469006,6.7778027245430055,2.549438364780016,7.556409649207257,7768.279285803018,5135.047893865034,25600,1800,1
30.0,60.0,90.0,9.0,98.0,158.0,68.0,128.0,188.0,21.0,4295.905720509289,2674.0,2720.549459447338,1643746995.1347616,7.1559808987798315,-7.147933776281854e-05,0.9132479034673846,46.822563114290006,2.238337486897999,5.010154705252849,87.83415135418001,41.01158823989,-0.8937044897229189,72.25592387092325,2.2382937683755415,18.322701344808046,51.270375695926475,41.011659719227765,5.009958993548782,2.4509158574328764,9.345897476323145,10103.92720102441,5523.6186447272785,25600,1800,1
30.0,60.0,9.0,90.0,128.0,98.0,68.0,158.0,1.0,21.0,4081.1264295911346,2704.0,2711.1512124481737,1544212039.965604,6.156217099588095,-0.003731687026036591,0.9485286956286824,42.89433050401001,2.1708991086737957,4.71280294004068,76.9969347004,34.10260419639,-0.5890132939751463,43.9441369501151,2.170859913599324,15.709260640336428,45.22196397609221,34.10633588341604,4.712632764472464,2.2886602414916752,9.101988770986196,10460.716649048514,9364.176592931057,25600,1800,1
30.0,60.0,90.0,158.0,39.0,128.0,9.0,188.0,98.0,89.0,4083.078181193075,2862.0,2722.849236491255,2993413448.0271244,8.096379678057648,-0.0037498266416481152,1.2793058555411425,50.592021281490005,3.0225576440704285,9.13585471172858,87.45106923861,36.85904795712,-0.532277960006443,34.860807077764115,3.02250093294659,12.194883897417585,39.54646268705597,36.86279778376164,9.135511889663007,2.362610098167714,5.537951446238691,14701.370128960581,12505.223517449447,25600,1800,1
30.0,60.0,158.0,188.0,128.0,90.0,89.0,39.0,218.0,98.0,4212.694722255652,2801.0,2670.904627090115,4290565291.068316,8.906403737233658,0.00027399838555408965,1.4626385581778498,51.21585390816001,3.6186722955187114,13.094789182354662,97.58785638107001,46.372002472910005,-0.23295455745188254,35.93385470693826,3.618601625247717,12.814895718103685,35.01606984295871,46.37172847452445,13.094277722245419,2.4740231310158807,3.9113156902996757,13607.47305230261,12239.202217351936,25600,1800,1
30.0,60.0,158.0,188.0,90.0,59.0,128.0,89.0,218.0,98.0,4088.366625191867,2889.0,2672.6772568284323,5196416469.068888,9.075438409875607,0.0005516092553118929,1.6932266921358847,51.21585390816001,3.9823922204204907,15.859447797265645,95.69547676766001,44.479622859500004,-0.571029485915606,27.576609152202796,3.9823144737273473,11.169289405180546,30.24748791525065,44.479071250244694,15.85882856765832,2.35190863233082,3.2294853109520956,18717.87786091064,17284.466001216493,25600,1800,1
30.0,60.0,158.0,128.0,39.0,9.0,188.0,98.0,90.0,21.0,4403.247052935696,2702.0,2763.3006024084693,2113228531.7119374,9.17083546670421,0.0019016510774135834,0.9959450590923171,47.927878445850006,2.5395875705294157,6.449505028387501,92.12542694289002,44.19754849704,-0.17910049697619168,59.082097698952204,2.5395386787825447,17.4037705612849,48.12301442564557,44.19564684596259,6.449256701032593,2.5498782845481713,7.431535240049641,8684.867606500144,5520.743953352313,25600,1800,1
30.0,60.0,98.0,68.0,9.0,158.0,188.0,21.0,38.0,128.0,4370.320442882836,2671.0,2720.29044960231,1331001914.731679,5.292407822259252,0.0006053807698374854,0.850876641515227,38.86709893895001,2.015458640441745,4.062073531331287,72.16268519713,33.29558625818,-0.21435081429543118,66.96097469066183,2.0154193650134933,16.52042589059726,45.678888152031206,33.29498087741016,4.061915216871393,2.3686387270244813,9.568663269364494,7012.643509650562,4327.487467885759,25600,1800,1
30.0,60.0,9.0,68.0,38.0,21.0,98.0,90.0,158.0,128.0,4325.633400129647,2672.0,2747.1252905881415,1207619190.637878,6.5103134301506485,-0.0006032241900824306,0.842990938078825,38.376384309820004,1.9197071790004665,3.685275653105929,71.13845449117,32.76207018135,-0.15054874979493862,67.69030504080335,1.9196697776653282,17.066513502751867,45.52407692220242,32.76267340554008,3.6851320552816507,2.2772128275070815,10.413842362804266,7806.529818407296,6025.012984478053,25600,1800,1
30.0,60.0,9.0,90.0,158.0,21.0,98.0,128.0,68.0,39.0,4208.905102534585,2800.0,2705.760418564717,2330970326.3797054,7.286234635660274,-0.002449450758892929,1.1164487062275916,51.21585390816001,2.6672185503511923,7.114054795337515,90.4101512941,39.19429738594,-0.567593038292566,48.64486734798993,2.667167578448244,14.695101163738354,45.8738978535029,39.19674683669889,7.11378289152547,2.388974579459572,7.199524456836122,10564.142131910085,9333.571285356098,25600,1800,1
30.0,60.0,158.0,188.0,90.0,128.0,98.0,218.0,39.0,89.0,4384.700926532772,2862.0,2779.6206697395446,4467050112.83108,12.507999914599683,-0.00018275752671085516,1.5829297112959213,51.21585390816001,3.6923459796726026,13.63341883360443,90.28879911535,39.07294520719,-0.4884552699424781,28.758440991971224,3.6922738645417215,10.58235294581532,32.35510303627464,39.07312796471671,13.632886290777858,2.3325570542983307,3.756787287429048,15098.373009627787,11069.643064761585,25600,1800,1
